,groupId,perPos,perNeg,perPosDoc,perNegDoc,PSJudge,judgementCount,judgementFrac,nous,vous,je,ils,il,elle,le,UniqueWordCount,avgSD,avgEVC,rank,groupName
0,ACLU07,0.01027027,0.015135135,0,1,0.391304348,27,0.391304348,0.002162162,0.000540541,0,0.011351351,0.001081081,0,0.005945946,0.278918919,0.577079688,0.723923388,3,ACLU
1,Unitarian006,0.025641026,0.021978022,1,0,0.538461538,9,0.692307692,0.007326007,0.003663004,0.025641026,0.018315018,0,0.018315018,0,0.663003663,0.006451834,0.537620457,2,Unitarian
2,YV02,0.026578073,0.003322259,1,0,0.611111111,13,0.722222222,0.009966777,0.019933555,0.033222591,0.026578073,0,0,0.003322259,0.514950166,0.779285142,0.579184716,6,YV
3,DorothyDay406,0.050938338,0.00536193,1,0,0.35,9,0.45,0.021447721,0,0,0,0.002680965,0.016085791,0.002680965,0.522788204,0.773385579,0.576540447,4,DorothyDay
4,LiberalJudaism001,0.013574661,0.023190045,0,1,0.372093023,51,0.593023256,0.020361991,0.003393665,0.006221719,0.007918552,0.007352941,0.001696833,0.014705882,0.353506787,0.710380135,0.6159698,6,LiberalJudaism
5,ISIS004,0.016874136,0.019087137,0,1,0.484615385,109,0.838461538,0.00802213,0.005809129,0.004426003,0.009405256,0.03264177,0.003872752,0.021300138,0.237067773,0.781854721,0.626859297,2,ISIS
6,LiberalJudaism135,0.018489171,0.006867406,1,0,0.511627907,72,0.837209302,0.022715267,0.035393555,0.032752245,0.004754358,0.013734812,0,0.01320655,0.278394083,0.652398198,0.443592722,4,LiberalJudaism
7,Rabbinic052,0.021672687,0.018894137,1,0,0.268738574,234,0.427787934,0.001528202,0.002361767,0.017504862,0.011530981,0.029730481,0.000138927,0.012086691,0.176298972,0.657594233,0.563041126,4,Rabbinic
8,AEU010,0.022196262,0.018691589,1,0,0.328571429,41,0.585714286,0.011682243,0,0.003504673,0.013434579,0.004088785,0,0.022196262,0.339953271,0.73372807,0.782806457,8,AEU
9,YV27,0.054602184,0.029641186,1,0,0.32,25,0.5,0,0.020280811,0.001560062,0.00624025,0.031201248,0,0.007800312,0.455538222,0.706823762,0.618484539,5,YV
10,JohnPiper413,0.049211356,0.026182965,1,0,0.494186047,119,0.691860465,0.033123028,0.006940063,0.00851735,0.011356467,0.008832808,0.004100946,0.009463722,0.204416404,0.719907553,0.636675363,2,JohnPiper
11,ISIS009,0.027118644,0.023728814,1,0,0.666666667,6,0.666666667,0.003389831,0,0.003389831,0.013559322,0.010169492,0,0,0.613559322,0.246636063,0.581083736,1,ISIS
